Summary,Description,Status,Labels
"Register with email/password","As a new user, I want to register with my email and password, so that I can create a secure account.","Done","Authentication & Onboarding"
"Log in","As a registered user, I want to log in, so that I can access my private data.","Done","Authentication & Onboarding"
"Persist session (JWT)","As a user, I want my session to persist (JWT), so that I don't have to log in every time I refresh.","Done","Authentication & Onboarding"
"List households","As a user, I want to see a list of households I belong to, so that I can select which workspace to enter.","Done","Authentication & Onboarding"
"Default household creation","As a new user, I want a default household created for me upon registration, so that I can start immediately.","Done","Authentication & Onboarding"
"Remember last household","As a user, I want the application to remember my last visited household, so that I am redirected there automatically upon login.","Done","Authentication & Onboarding"
"View Dashboard","As a user, I want to see a high-level dashboard (""HomeView""), so that I can get an immediate overview of my household's status.","Done","Dashboard (Home)"
"View Key Metrics Widgets","As a user, I want to see widgets for key metrics (e.g., Budget Health, Upcoming Bills), so that I can take quick actions.","Done","Dashboard (Home)"
"Add Members","As a household admin, I want to add members (people) to my household, so that I can track data specific to them.","Done","People & Members"
"Categorize Members (Adult/Child)","As a user, I want to categorize members as ""Adults"" or ""Children"", so that the system can apply appropriate logic (e.g., financial ownership).","Done","People & Members"
"Record Date of Birth","As a user, I want to record details like Date of Birth, so that the calendar can automatically populate birthdays.","Done","People & Members"
"Add Pets","As a user, I want to add pets to the household, so that I can track their specific needs (e.g., vet bills, insurance).","Done","People & Members"
"View Pets List","As a user, I want to view a dedicated list of pets, so that their information is organized separately from humans.","Done","People & Members"
"Catalog Physical Assets","As a user, I want to catalog physical assets (electronics, furniture, etc.), so that I have a record for insurance and net worth calculations.","Done","Assets & Inventory"
"Record Asset Value & Warranty","As a user, I want to record purchase value, replacement cost, and warranty expiry, so that I can manage lifecycle and financial risks.","Done","Assets & Inventory"
"Store Encrypted Serial Numbers","As a user, I want to store encrypted serial numbers, so that I can retrieve them securely in case of theft.","Done","Assets & Inventory"
"Track Vehicles","As a user, I want to track vehicles (cars, bikes), so that I can manage their specific compliance and maintenance needs.","Done","Assets & Inventory"
"Track MOT & Tax","As a user, I want to track MOT and Tax due dates, so that I never miss a legal deadline.","Done","Assets & Inventory"
"Log Vehicle Service History","As a user, I want to log service history (mileage, cost), so that I have a maintenance record for resale or upkeep.","Done","Assets & Inventory"
"Unified Calendar View","As a user, I want a unified calendar view, so that I can see all household events in one place.","Done","Calendar & Planning"
"Auto-generate Events","As a user, I want to see automatically generated events for Birthdays, MOTs, Insurance Renewals, and Bill Payments, so that I don't have to manually enter them.","Done","Calendar & Planning"
"Add One-off Events","As a user, I want to manually add one-off events, so that I can track ad-hoc appointments.","Done","Calendar & Planning"
"Maintain Meal Library","As a user, I want to maintain a library of meals/recipes, so that I can easily choose what to cook.","Done","Calendar & Planning"
"Weekly Meal Planner","As a user, I want to assign meals to specific dates on a weekly planner, so that the household knows what's for dinner.","Done","Calendar & Planning"
"Store Property Details","As a user, I want to store property details (e.g., WiFi password, emergency contacts), so that this information is easily accessible to all members.","Done","Household Operations"
"Track Utilities","As a user, I want to track Energy (Gas/Elec), Water, and Waste details, so that I can manage providers and costs.","Done","Household Operations"
"Track Council Tax","As a user, I want to track Council Tax details, so that I can ensure payments are correct.","Done","Household Operations"
"Record Income Sources","As a user, I want to record income sources (Salary, etc.) for each member, so that we can calculate total household inflow.","Done","Finance (The Core)"
"Specify Income Frequency","As a user, I want to specify the frequency and bank account for each income, so that cash flow projections are accurate.","Done","Finance (The Core)"
"List Current Accounts","As a user, I want to list Current Accounts with their balances, so that I know my liquid cash position.","Done","Finance (The Core)"
"Encrypt Account Numbers","As a user, I want to encrypt sensitive account numbers, so that my banking data is secure.","Done","Finance (The Core)"
"Track Savings & Pots","As a user, I want to track Savings Accounts and specific ""Pots"" (goals), so that I can monitor progress toward financial targets.","Done","Finance (The Core)"
"Track Investments","As a user, I want to track Investments (Stocks, Bonds, Crypto) with unit counts and values, so that I can see my wider net worth.","Todo","Finance (The Core)"
"Track Pensions","As a user, I want to track Pensions, so that I can plan for retirement.","Todo","Finance (The Core)"
"Track Credit Cards","As a user, I want to track Credit Cards (Balance, Limit, APR), so that I can manage debt repayment.","Todo","Finance (The Core)"
"Track Loans & Mortgages","As a user, I want to track Loans and Mortgages, so that I have a complete picture of liabilities.","Todo","Finance (The Core)"
"Track Vehicle Finance","As a user, I want to track Vehicle Finance specifically, so that it links to the relevant vehicle asset.","Done","Finance (The Core)"
"Centralized Recurring Costs","As a user, I want a centralized register of all recurring costs (Utilities, Subscriptions, Insurance), so that nothing is missed.","Done","Finance (The Core)"
"Link Cost to Asset","As a user, I want to link a cost to a specific asset or vehicle (e.g., ""Car Insurance"" linked to ""Ford Fiesta""), so that the total cost of ownership is clear.","Done","Finance (The Core)"
"Project Costs to Calendar","As a user, I want the system to project these costs onto the calendar (""Nearest Working Day"" logic), so that I know exactly when money leaves my account.","Done","Finance (The Core)"
"Budget Progress View","As a user, I want to see a ""Budget Progress"" view, so that I can compare actual spending against the projected recurring costs for the month.","Done","Finance (The Core)"
"Close Budget Cycle","As a user, I want to close a budget cycle, so that I can archive the month's performance and reset for the next.","Todo","Finance (The Core)"
"Update User Profile","As a user, I want to update my personal profile (theme preference, password), so that I can customize experience.","Done","Settings & Admin"
"Configure Global Settings","As a user, I want to configure global application settings, so that I can toggle modules (e.g., turn off ""Pets"" if I don't have any).","Done","Settings & Admin"
"View System Health","As a user, I want to view system health or version history, so that I trust the platform's stability.","Done","Settings & Admin"
